x1,ECG,x2,receiver,x3,Vg,x4,Received
,,,,,,67.66667,100.03846
,,,,,,68.0,100.03846
,,,,,,68.33333,100.03846
,,,,,,68.66667,100.03846
,,,,,,69.0,100.03846
,,,,,,69.33333,100.07692
,,,,,,69.66667,100.07692
,,,,,,70.0,100.0
,,,,,,70.33333,99.92308
,,,,,,70.66667,99.88462
,,,,,,71.0,99.84615
,,,,,,71.33333,100.0
,,,,,,71.66667,100.07692
,,,,,,72.0,100.03846
,,,,,,72.33333,100.0
,,,,,,72.66667,99.96154
,,,,,,73.0,99.92308
,,,,,,73.33333,99.96154
,,,,,,73.66667,100.0
,,,,,,74.0,100.03846
,,,,,,74.33333,100.03846
,,,,,,74.66667,100.03846
,,,,,,75.0,100.0
,,,,,,75.33333,100.03846
,,,,,,75.66667,100.03846
,,,,,,76.0,100.0
,,,,,,76.33333,100.07692
,,,,,,76.66667,100.03846
,,,,,,77.0,99.92308
,,,,,,77.33333,99.92308
,,,,,,77.66667,99.88462
,,,,,,78.0,99.92308
,,,,,,78.33333,99.96154
,,,,,,78.66667,100.03846
,,,,,,79.0,100.03846
,,,,,,79.33333,100.0
,,,,,,79.66667,100.03846
,,,,,,80.0,99.96154
,,,,,,80.33333,100.07692
,,,,,,80.66667,100.03846
,,,,,,81.0,99.96154
,,,,,,81.33333,99.96154
,,,,,,81.66667,99.96154
,,,,,,82.0,99.96154
,,,,,,82.33333,99.96154
,,,,,,82.66667,99.92308
,,,,,,83.0,100.0
,,,,,,83.33333,100.0
,,,,,,83.66667,100.03846
,,,,,,84.0,100.03846
,,,,,,84.33333,100.03846
,,,,,,84.66667,100.07692
,,,,,,85.0,100.0
,,,,,,85.33333,100.0
,,,,,,85.66667,100.0
,,,,,,86.0,100.0
,,,,,,86.33333,99.96154
,,,,,,86.66667,99.92308
,,,,,,87.0,99.96154
,,,,,,87.33333,100.03846
,,,,,,87.66667,99.87203030148015
,,,,,,88.0,99.52973337718339
,,,,,,88.33333,98.67509358902095
,,,,,,88.66667,97.61373712023943
,,,,,,89.0,97.03846
,,,,,,89.33333,97.4983571202394
,,,,,,89.66667,98.5597135890209
,,,,,,90.0,99.45281337718339
,,,,,,90.33333,99.91049030148015
,,,,,,90.66667,100.03846
,,,,,,91.0,99.96154
,,,,,,91.33333,99.96154
,,,,,,91.66667,99.96154
,,,,,,92.0,100.0
,,,,,,92.33333,100.0
,,,,,,92.66667,99.96154
,,,,,,93.0,99.96154
,,,,,,93.33333,99.92308
,,,,,,93.66667,99.96154
,,,,,,94.0,100.0
,,,,,,94.33333,100.03846
,,,,,,94.66667,100.03846
,,,,,,95.0,100.03846
,,,,,,95.33333,100.03846
,,,,,,95.66667,100.03846
,,,,,,96.0,100.07692
,,,,,,96.33333,100.07692
,,,,,,96.66667,100.0
,,,,,,97.0,99.92308
,,,,,,97.33333,99.88462
,,,,,,97.66667,99.84615
,,,,,,98.0,100.0
,,,,,,98.33333,100.07692
,,,,,,98.66667,100.03846
,,,,,,99.0,100.0
,,,,,,99.33333,99.96154
,,,,,,99.66667,99.92308
,,,,,,100.0,99.96154
,,,,,,100.33333,100.0
,,,,,,100.66667,100.03846
,,,,,,101.0,100.03846
,,,,,,101.33333,100.03846
,,,,,,101.66667,100.0
,,,,,,102.0,100.03846
,,,,,,102.33333,100.03846
,,,,,,102.66667,100.0
,,,,,,103.0,100.07692
,,,,,,103.33333,100.03846
,,,,,,103.66667,99.92308
,,,,,,104.0,99.92308
,,,,,,104.33333,99.88462
,,,,,,104.66667,99.92308
,,,,,,105.0,99.96154
,,,,,,105.33333,100.03846
,,,,,,105.66667,100.03846
,,,,,,106.0,100.0
,,,,,,106.33333,100.03846
,,,,,,106.66667,99.96154
,,,,,,107.0,100.07692
,,,,,,107.33333,100.03846
,,,,,,107.66667,99.96154
,,,,,,108.0,99.96154
,,,,,,108.33333,99.96154
,,,,,,108.66667,99.96154
,,,,,,109.0,99.96154
,,,,,,109.33333,99.92308
,,,,,,109.66667,100.0
,,,,,,110.0,100.0
,,,,,,110.33333,100.03846
,,,,,,110.66667,100.03846
,,,,,,111.0,100.03846
,,,,,,111.33333,100.07692
,,,,,,111.66667,100.0
,,,,,,112.0,100.0
,,,,,,112.33333,100.0
,,,,,,112.66667,100.0
,,,,,,113.0,99.96154
,,,,,,113.33333,99.92308
,,,,,,113.66667,99.96154
,,,,,,114.0,100.03846
,,,,,,114.33333,100.0
,,,,,,114.66667,100.03846
,,,,,,115.0,100.03846
,,,,,,115.33333,100.07692
,,,,,,115.66667,100.03846
,,,,,,116.0,99.96154
,,,,,,116.33333,99.92308
,,,,,,116.66667,99.96154
,,,,,,117.0,100.03846
,,,,,,117.33333,100.0
,,,,,,117.66667,100.03846
,,,,,,118.0,100.03846
,,,,,,118.33333,100.07692
,,,,,,118.66667,100.03846
,,,,,,119.0,99.96154
,,,,,,119.33333,99.92308
,,,,,,119.66667,99.96154
,,,,,,120.0,100.03846
,,,,,,120.33333,99.88462
,,,,,,120.66667,99.84615
,,,,,,121.0,100.0
,,,,,,121.33334,100.07692
,,,,,,121.66667,100.03846
,,,,,,122.00001,100.0
,,,,,,122.33334,99.96154
,,,,,,122.66668,99.92308
,,,,,,123.00001,99.96154
,,,,,,123.33335,100.07692
,,,,,,123.66668,100.03846
,,,,,,124.00002,99.96154
,,,,,,124.33335,99.92308
,,,,,,124.66669,99.96154
,,,,,,125.00002,100.03846
,,,,,,125.33336,100.03846
,,,,,,125.66669,100.0
,,,,,,126.00003,100.07692
,,,,,,126.33336,100.07692
,,,,,,126.6667,100.03846
,,,,,,127.00003,99.96154
,,,,,,127.33337,99.92308
,,,,,,127.6667,99.96154
,,,,,,128.00004,100.03846
,,,,,,128.33337,100.03846
,,,,,,128.66671,100.03846
,,,,,,129.00004,100.0
,,,,,,129.33338,100.03846
,,,,,,129.66671,99.96154
,,,,,,130.00005,100.07692
,,,,,,130.33338,100.03846
,,,,,,130.66672,99.96154
,,,,,,131.00005,99.96154
,,,,,,131.33339,99.96154
,,,,,,131.66672,99.96154
,,,,,,132.00006,99.96154
,,,,,,132.33339,99.92308
,,,,,,132.66673,100.0
,,,,,,133.00006,100.0
,,,,,,133.3334,100.03846
,,,,,,133.66673,100.03846
,,,,,,134.00007,100.03846
,,,,,,134.3334,100.07692
,,,,,,134.66674,100.0
,,,,,,135.00007,100.0
,,,,,,135.33341,99.96154
,,,,,,135.66674,99.96154
,,,,,,136.00008,99.96154
,,,,,,136.33341,99.92308
,,,,,,136.66675,100.0
,,,,,,137.00008,99.96154
,,,,,,137.33342,99.96154
,,,,,,137.66675,99.96154
,,,,,,138.00009,99.92308
,,,,,,138.33342,100.0
,,,,,,138.66676,99.96154
,,,,,,139.00009,99.96154
,,,,,,139.33343,99.96154
,,,,,,139.66676,99.96154
,,,,,,140.0001,99.96154
,,,,,,140.33343,99.76923
,,,,,,140.66677,99.96154
,,,,,,141.0001,99.92308
,,,,,,141.33344,99.96154
